,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
1323,1865,2021-10-15,12100059,Final,1610612748,1610612738,2021,1610612748,121.0,0.461,0.931,0.4,19.0,47.0,1610612738,100.0,0.444,0.8,0.293,20.0,36.0,1
1324,1866,2021-10-15,12100060,Final,1610612765,1610612755,2021,1610612765,112.0,0.487,0.829,0.333,24.0,47.0,1610612755,108.0,0.453,0.75,0.429,20.0,38.0,1
1325,1867,2021-10-15,12100061,Final,1610612754,1610612739,2021,1610612754,94.0,0.41,0.632,0.318,26.0,38.0,1610612739,110.0,0.525,0.565,0.406,24.0,50.0,0
1326,1868,2021-10-15,12100062,Final,1610612752,1610612764,2021,1610612752,115.0,0.412,0.842,0.357,24.0,48.0,1610612764,113.0,0.494,0.655,0.4,25.0,47.0,1
1327,1869,2021-10-15,12100063,Final,1610612741,1610612763,2021,1610612741,118.0,0.462,0.875,0.407,26.0,43.0,1610612763,105.0,0.46,0.632,0.351,25.0,45.0,1
1328,1870,2021-10-15,12100064,Final,1610612749,1610612742,2021,1610612749,103.0,0.448,0.778,0.275,21.0,44.0,1610612742,114.0,0.449,0.857,0.359,30.0,55.0,0
1329,1871,2021-10-15,12100065,Final,1610612759,1610612745,2021,1610612759,126.0,0.469,0.724,0.385,30.0,53.0,1610612745,98.0,0.34,0.684,0.182,15.0,59.0,1
1330,1872,2021-10-15,12100066,Final,1610612744,1610612757,2021,1610612744,119.0,0.446,0.722,0.348,31.0,57.0,1610612757,97.0,0.402,0.867,0.25,21.0,42.0,1
1331,1873,2021-10-14,12100055,Final,1610612737,1610612748,2021,1610612737,127.0,0.485,0.769,0.413,33.0,51.0,1610612748,92.0,0.385,0.75,0.342,23.0,51.0,1
1332,1874,2021-10-14,12100056,Final,1610612751,1610612750,2021,1610612751,107.0,0.463,0.842,0.417,24.0,46.0,1610612750,101.0,0.413,1.0,0.25,23.0,43.0,1
1333,1875,2021-10-14,12100057,Final,1610612760,1610612743,2021,1610612760,107.0,0.427,0.667,0.319,29.0,52.0,1610612743,113.0,0.437,0.842,0.438,18.0,43.0,0
1334,1876,2021-10-14,12100058,Final,1610612758,1610612747,2021,1610612758,116.0,0.398,0.808,0.362,22.0,49.0,1610612747,112.0,0.468,0.625,0.31,25.0,56.0,1
1335,1877,2021-10-13,12100054,Final,1610612756,1610612757,2021,1610612756,119.0,0.495,0.867,0.39,30.0,55.0,1610612757,74.0,0.298,0.72,0.154,12.0,45.0,1
1336,1878,2021-10-13,12100048,Final,1610612766,1610612742,2021,1610612766,59.0,0.274,0.476,0.158,10.0,43.0,1610612742,127.0,0.511,0.75,0.391,29.0,59.0,0
1337,1879,2021-10-13,12100049,Final,1610612754,1610612763,2021,1610612754,109.0,0.442,0.741,0.2,23.0,44.0,1610612763,107.0,0.433,1.0,0.364,21.0,46.0,1
1338,1880,2021-10-13,12100050,Final,1610612753,1610612738,2021,1610612753,103.0,0.464,0.889,0.29,18.0,47.0,1610612738,102.0,0.429,0.786,0.333,23.0,45.0,1
