,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
1319,16429,2005-10-28,10500118,Final,1610612752,1610612751,2005,1610612752,86.0,0.456,0.6559999999999999,0.3329999999999999,15.0,36.0,1610612751,91.0,0.4579999999999999,0.7659999999999999,0.125,17.0,30.0,0
1320,16430,2005-10-28,10500114,Final,1610612754,1610612764,2005,1610612754,77.0,0.425,0.6920000000000001,0.4,19.0,44.0,1610612764,85.0,0.442,0.765,0.286,18.0,43.0,0
1321,16431,2005-10-28,10500116,Final,1610612762,1610612743,2005,1610612762,83.0,0.406,0.706,0.25,17.0,43.0,1610612743,89.0,0.471,0.71,0.1,12.0,36.0,0
1322,16432,2005-10-28,10500119,Final,1610612747,1610612758,2005,1610612747,105.0,0.434,0.7440000000000001,0.143,14.0,44.0,1610612758,103.0,0.447,0.75,0.263,22.0,47.0,1
1323,16433,2005-10-28,10500121,Final,1610612750,1610612765,2005,1610612750,96.0,0.429,0.8140000000000001,0.467,14.0,45.0,1610612765,92.0,0.3670000000000001,0.857,0.471,20.0,44.0,1
1324,16434,2005-10-28,10500117,Final,1610612760,1610612757,2005,1610612760,96.0,0.494,0.579,0.474,20.0,39.0,1610612757,85.0,0.471,0.7040000000000001,0.0,25.0,34.0,1
1325,16435,2005-10-28,10500113,Final,1610612737,1610612740,2005,1610612737,104.0,0.5770000000000001,0.731,0.6,21.0,42.0,1610612740,90.0,0.4320000000000001,0.706,0.1669999999999999,20.0,27.0,1
1326,16436,2005-10-27,10500109,Final,1610612742,1610612765,2005,1610612742,103.0,0.493,0.743,0.313,18.0,37.0,1610612765,97.0,0.46,0.867,0.444,20.0,41.0,1
1327,16437,2005-10-27,10500106,Final,1610612756,1610612744,2005,1610612756,97.0,0.391,0.857,0.324,21.0,55.0,1610612744,92.0,0.429,0.737,0.25,19.0,38.0,1
1328,16438,2005-10-26,10500103,Final,1610612738,1610612739,2005,1610612738,101.0,0.522,0.73,0.2,24.0,25.0,1610612739,100.0,0.478,0.833,0.462,17.0,37.0,1
