,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
1315,12170,2008-10-24,10800111,Final,1610612752,1610612751,2008,1610612752,110.0,0.4679999999999999,0.815,0.5710000000000001,24.0,37.0,1610612751,111.0,0.519,0.8640000000000001,0.526,17.0,42.0,0
1316,12171,2008-10-24,10800112,Final,1610612739,1610612764,2008,1610612739,107.0,0.5,0.778,0.462,24.0,45.0,1610612764,80.0,0.386,0.759,0.286,17.0,37.0,1
1317,12172,2008-10-24,10800113,Final,1610612741,1610612749,2008,1610612741,112.0,0.481,0.722,0.444,27.0,45.0,1610612749,104.0,0.385,0.6509999999999999,0.353,23.0,44.0,1
1318,12173,2008-10-24,10800114,Final,1610612759,1610612748,2008,1610612759,93.0,0.521,0.667,0.263,21.0,31.0,1610612748,96.0,0.542,0.647,0.5,23.0,36.0,0
1319,12174,2008-10-24,10800110,Final,1610612747,1610612760,2008,1610612747,105.0,0.551,0.7,0.313,28.0,46.0,1610612760,94.0,0.38,0.8420000000000001,0.143,19.0,42.0,1
1320,12175,2008-10-24,10800115,Final,1610612746,1610612743,2008,1610612746,92.0,0.405,0.762,0.3329999999999999,22.0,47.0,1610612743,106.0,0.405,0.68,0.5710000000000001,21.0,51.0,0
1321,12176,2008-10-23,10800107,Final,1610612765,1610612737,2008,1610612765,87.0,0.391,0.778,0.357,21.0,42.0,1610612737,88.0,0.461,0.667,0.133,13.0,46.0,0
1322,12177,2008-10-23,10800102,Final,1610612750,1610612749,2008,1610612750,95.0,0.4270000000000001,0.818,0.3329999999999999,23.0,46.0,1610612749,76.0,0.362,0.8,0.462,19.0,43.0,1
1323,12178,2008-10-23,10800108,Final,1610612740,1610612748,2008,1610612740,100.0,0.522,0.75,0.563,25.0,40.0,1610612748,80.0,0.4270000000000001,0.619,0.231,11.0,33.0,1
1324,12179,2008-10-23,10800109,Final,1610612742,1610612754,2008,1610612742,91.0,0.384,0.875,0.267,18.0,50.0,1610612754,114.0,0.416,1.0,0.318,26.0,56.0,0
1325,12180,2008-10-23,10800103,Final,1610612762,1610612757,2008,1610612762,100.0,0.529,0.7040000000000001,0.467,27.0,33.0,1610612757,89.0,0.457,0.727,0.529,22.0,33.0,1
1326,12181,2008-10-23,10800104,Final,1610612756,1610612760,2008,1610612756,102.0,0.507,0.6920000000000001,0.444,24.0,38.0,1610612760,93.0,0.479,0.667,0.3,11.0,35.0,1
1327,12182,2008-10-23,10800105,Final,1610612758,1610612745,2008,1610612758,97.0,0.42,0.857,0.294,23.0,37.0,1610612745,110.0,0.56,0.952,0.462,18.0,40.0,0
1328,12183,2008-10-23,10800106,Final,1610612747,1610612766,2008,1610612747,88.0,0.423,0.85,0.263,20.0,42.0,1610612766,77.0,0.3289999999999999,0.7929999999999999,0.3329999999999999,14.0,47.0,1
1329,12184,2008-10-22,10800096,Final,1610612753,1610612763,2008,1610612753,101.0,0.4679999999999999,0.87,0.36,22.0,38.0,1610612763,90.0,0.431,0.738,0.3,12.0,36.0,1
1330,12185,2008-10-22,10800098,Final,1610612751,1610612755,2008,1610612751,100.0,0.4629999999999999,0.586,0.3329999999999999,21.0,43.0,1610612755,118.0,0.481,0.7140000000000001,0.519,28.0,40.0,0
1331,12186,2008-10-22,10800099,Final,1610612765,1610612739,2008,1610612765,97.0,0.541,0.55,0.5,26.0,35.0,1610612739,79.0,0.392,0.944,0.4,18.0,38.0,1
1332,12187,2008-10-22,10800097,Final,1610612750,1610612741,2008,1610612750,75.0,0.325,0.6,0.263,18.0,42.0,1610612741,85.0,0.4320000000000001,0.81,0.4,15.0,47.0,0
1333,12188,2008-10-22,10800100,Final,1610612759,1610612764,2008,1610612759,95.0,0.4379999999999999,0.81,0.381,28.0,44.0,1610612764,100.0,0.481,0.8240000000000001,0.526,22.0,41.0,0
1334,12189,2008-10-22,10800101,Final,1610612746,1610612757,2008,1610612746,75.0,0.434,0.667,0.429,16.0,39.0,1610612757,87.0,0.446,0.462,0.389,20.0,42.0,0
1335,12190,2008-10-21,10800087,Final,1610612755,1610612739,2008,1610612755,83.0,0.359,0.73,0.0,15.0,50.0,1610612739,91.0,0.43,0.6,0.421,21.0,43.0,0
1336,12191,2008-10-21,10800091,Final,1610612752,1610612738,2008,1610612752,90.0,0.4029999999999999,0.828,0.129,16.0,42.0,1610612738,101.0,0.442,0.655,0.375,23.0,51.0,0
1337,12192,2008-10-21,10800092,Final,1610612748,1610612763,2008,1610612748,102.0,0.526,0.727,0.375,30.0,42.0,1610612763,85.0,0.4429999999999999,0.556,0.278,21.0,38.0,1
1338,12193,2008-10-21,10800089,Final,1610612740,1610612754,2008,1610612740,101.0,0.461,0.629,0.375,26.0,35.0,1610612754,96.0,0.479,0.76,0.304,24.0,48.0,1
1339,12194,2008-10-21,10800093,Final,1610612742,1610612741,2008,1610612742,105.0,0.536,0.526,0.357,27.0,39.0,1610612741,109.0,0.446,0.816,0.267,17.0,45.0,0
1340,12195,2008-10-21,10800088,Final,1610612761,1610612743,2008,1610612761,94.0,0.4579999999999999,0.733,0.375,23.0,34.0,1610612743,105.0,0.5329999999999999,0.667,0.455,27.0,40.0,0
1341,12196,2008-10-21,10800090,Final,1610612747,1610612766,2008,1610612747,102.0,0.4579999999999999,0.725,0.5,25.0,40.0,1610612766,98.0,0.4320000000000001,0.735,0.2,21.0,43.0,1
1342,12197,2008-10-21,10800095,Final,1610612746,1610612756,2008,1610612746,69.0,0.3379999999999999,0.7140000000000001,0.083,16.0,40.0,1610612756,86.0,0.446,0.72,0.143,19.0,47.0,0
1343,12198,2008-10-20,10800083,Final,1610612737,1610612753,2008,1610612737,103.0,0.474,0.833,0.316,25.0,38.0,1610612753,109.0,0.473,0.769,0.529,21.0,39.0,0
1344,12199,2008-10-20,10800086,Final,1610612751,1610612752,2008,1610612751,106.0,0.5,0.7809999999999999,0.3329999999999999,18.0,36.0,1610612752,114.0,0.5,0.722,0.48,26.0,40.0,0
1345,12200,2008-10-20,10800084,Final,1610612756,1610612766,2008,1610612756,111.0,0.455,0.649,0.389,23.0,52.0,1610612766,108.0,0.411,0.775,0.3,16.0,46.0,1
1346,12201,2008-10-20,10800085,Final,1610612758,1610612757,2008,1610612758,98.0,0.515,0.743,0.364,14.0,29.0,1610612757,112.0,0.506,0.733,0.48,20.0,41.0,0
