,Unnamed: 0,GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
172,3352,2020-07-28,11900128,Final,1610612748,1610612763,2019,1610612748,110.0,0.429,0.7190000000000001,0.333,33.0,43.0,1610612763,128.0,0.469,0.792,0.452,32.0,54.0,0
173,3353,2020-07-28,11900129,Final,1610612756,1610612761,2019,1610612756,117.0,0.429,0.955,0.383,28.0,35.0,1610612761,106.0,0.45,0.7829999999999999,0.3720000000000001,23.0,46.0,1
174,3354,2020-07-28,11900130,Final,1610612754,1610612759,2019,1610612754,111.0,0.448,0.75,0.417,23.0,49.0,1610612759,118.0,0.484,0.905,0.259,29.0,48.0,0
175,3355,2020-07-28,11900131,Final,1610612757,1610612760,2019,1610612757,120.0,0.489,0.545,0.486,28.0,47.0,1610612760,131.0,0.517,0.655,0.5,30.0,41.0,0
176,3356,2020-07-28,11900132,Final,1610612745,1610612738,2019,1610612745,137.0,0.462,0.909,0.404,26.0,48.0,1610612738,112.0,0.466,0.581,0.364,21.0,48.0,1
177,3357,2020-07-28,11900133,Final,1610612755,1610612742,2019,1610612755,115.0,0.368,0.7140000000000001,0.297,25.0,67.0,1610612742,118.0,0.402,0.75,0.293,22.0,56.0,0
178,3358,2020-07-27,11900123,Final,1610612747,1610612764,2019,1610612747,123.0,0.494,0.71,0.464,22.0,47.0,1610612764,116.0,0.461,0.774,0.294,27.0,42.0,1
179,3359,2020-07-27,11900124,Final,1610612746,1610612758,2019,1610612746,102.0,0.359,0.88,0.275,21.0,47.0,1610612758,106.0,0.407,0.8440000000000001,0.317,22.0,51.0,0
180,3360,2020-07-27,11900125,Final,1610612751,1610612762,2019,1610612751,107.0,0.457,0.481,0.357,27.0,45.0,1610612762,112.0,0.447,0.7190000000000001,0.371,18.0,54.0,0
181,3361,2020-07-27,11900126,Final,1610612743,1610612753,2019,1610612743,110.0,0.539,0.64,0.429,26.0,46.0,1610612753,114.0,0.449,0.667,0.486,30.0,42.0,0
182,3362,2020-07-27,11900127,Final,1610612749,1610612740,2019,1610612749,103.0,0.395,0.763,0.263,18.0,51.0,1610612740,124.0,0.457,0.7929999999999999,0.362,22.0,39.0,0
183,3363,2020-07-26,11900118,Final,1610612760,1610612755,2019,1610612760,102.0,0.38,0.6559999999999999,0.289,22.0,59.0,1610612755,97.0,0.383,0.556,0.357,27.0,56.0,1
184,3364,2020-07-26,11900119,Final,1610612738,1610612756,2019,1610612738,117.0,0.488,0.645,0.394,21.0,48.0,1610612756,103.0,0.389,0.7929999999999999,0.263,23.0,50.0,1
185,3365,2020-07-26,11900120,Final,1610612742,1610612754,2019,1610612742,111.0,0.433,0.6920000000000001,0.395,27.0,44.0,1610612754,118.0,0.484,0.857,0.258,26.0,52.0,0
186,3366,2020-07-26,11900121,Final,1610612761,1610612757,2019,1610612761,110.0,0.386,0.6940000000000001,0.386,23.0,54.0,1610612757,104.0,0.419,0.735,0.25,22.0,50.0,1
187,3367,2020-07-26,11900122,Final,1610612763,1610612745,2019,1610612763,104.0,0.386,0.778,0.242,21.0,51.0,1610612745,119.0,0.4270000000000001,0.8079999999999999,0.431,25.0,48.0,0
188,3368,2020-07-25,11900112,Final,1610612753,1610612747,2019,1610612753,112.0,0.343,0.841,0.179,21.0,45.0,1610612747,119.0,0.569,0.778,0.45,24.0,49.0,0
189,3369,2020-07-25,11900113,Final,1610612758,1610612749,2019,1610612758,123.0,0.408,0.885,0.333,23.0,42.0,1610612749,131.0,0.488,0.795,0.444,29.0,54.0,0
190,3370,2020-07-25,11900114,Final,1610612762,1610612748,2019,1610612762,101.0,0.444,0.789,0.35,25.0,47.0,1610612748,99.0,0.414,0.8,0.256,28.0,42.0,1
191,3371,2020-07-25,11900115,Final,1610612759,1610612751,2019,1610612759,119.0,0.457,0.857,0.423,21.0,57.0,1610612751,124.0,0.4320000000000001,0.757,0.318,27.0,45.0,0
192,3372,2020-07-25,11900116,Final,1610612764,1610612746,2019,1610612764,100.0,0.356,0.556,0.258,13.0,63.0,1610612746,105.0,0.47,0.462,0.395,23.0,47.0,0
193,3373,2020-07-25,11900117,Final,1610612740,1610612743,2019,1610612740,119.0,0.506,0.741,0.417,37.0,43.0,1610612743,104.0,0.393,0.6759999999999999,0.355,21.0,46.0,1
194,3374,2020-07-24,11900109,Final,1610612755,1610612763,2019,1610612755,90.0,0.4320000000000001,0.833,0.333,26.0,44.0,1610612763,83.0,0.397,0.563,0.375,24.0,41.0,1
195,3375,2020-07-24,11900110,Final,1610612738,1610612760,2019,1610612738,84.0,0.444,0.7,0.208,25.0,33.0,1610612760,98.0,0.521,0.737,0.333,19.0,41.0,0
196,3376,2020-07-24,11900111,Final,1610612761,1610612745,2019,1610612761,94.0,0.479,0.8420000000000001,0.294,25.0,43.0,1610612745,83.0,0.377,0.917,0.292,18.0,38.0,1
197,3377,2020-07-23,11900105,Final,1610612749,1610612759,2019,1610612749,113.0,0.468,0.794,0.3,21.0,35.0,1610612759,92.0,0.455,0.737,0.348,23.0,39.0,1
198,3378,2020-07-23,11900106,Final,1610612754,1610612757,2019,1610612754,91.0,0.408,0.889,0.394,21.0,42.0,1610612757,88.0,0.413,0.85,0.192,17.0,37.0,1
199,3379,2020-07-23,11900107,Final,1610612747,1610612742,2019,1610612747,104.0,0.494,0.733,0.273,18.0,38.0,1610612742,108.0,0.541,0.636,0.368,21.0,37.0,0
200,3380,2020-07-23,11900108,Final,1610612762,1610612756,2019,1610612762,88.0,0.508,0.75,0.417,17.0,24.0,1610612756,101.0,0.514,0.7929999999999999,0.273,17.0,38.0,0
201,3381,2020-07-22,11900101,Final,1610612746,1610612753,2019,1610612746,99.0,0.442,0.789,0.39,21.0,43.0,1610612753,90.0,0.421,0.8079999999999999,0.179,21.0,42.0,1
202,3382,2020-07-22,11900102,Final,1610612743,1610612764,2019,1610612743,89.0,0.444,0.821,0.3229999999999999,18.0,47.0,1610612764,82.0,0.365,0.688,0.265,22.0,34.0,1
203,3383,2020-07-22,11900103,Final,1610612751,1610612740,2019,1610612751,68.0,0.352,0.833,0.25,14.0,34.0,1610612740,99.0,0.468,0.8,0.406,24.0,39.0,0
204,3384,2020-07-22,11900104,Final,1610612748,1610612758,2019,1610612748,104.0,0.471,0.897,0.318,22.0,34.0,1610612758,98.0,0.515,0.826,0.393,26.0,27.0,1
1176,19587,2019-10-18,11900074,Final,1610612755,1610612764,2019,1610612755,93.0,0.405,0.643,0.259,24.0,48.0,1610612764,112.0,0.482,0.8,0.4320000000000001,28.0,37.0,0
1177,19588,2019-10-18,11900075,Final,1610612751,1610612761,2019,1610612751,107.0,0.3879999999999999,0.643,0.325,16.0,51.0,1610612761,123.0,0.4629999999999999,0.846,0.511,31.0,57.0,0
